id,deep
1361,44
800,79
898,17
1254,28
1362,52
1365,90
1366,53
288,77
301,126
311,87
313,31
314,47
325,38
324,104
327,123
328,167
348,147
340,63
342,25
343,20
345,29
346,11
347,60
361,39
350,28
352,49
354,98
355,92
375,46
362,21
363,47
366,44
367,38
803,72
388,52
376,47
377,98
379,111
380,39
403,40
323,82
329,33
331,14
332,53
337,26
344,13
315,58
319,38
320,16
289,143
302,113
599,12
404,48
282,12
283,113
284,102
285,102
286,85
287,64
341,38
290,69
291,202
292,130
293,121
294,22
295,103
296,39
297,15
298,25
299,129
300,30
312,27
303,25
304,23
305,27
306,28
307,15
308,45
309,54
310,28
499,111
281,13
216,30
217,39
218,10
219,36
220,16
221,76
222,73
223,67
224,37
225,98
226,69
227,39
228,116
229,130
230,47
231,109
233,110
234,22
235,39
236,65
237,104
238,69
239,19
240,29
241,88
242,98
243,88
244,322
245,34
246,250
247,28
248,15
249,36
250,21
251,53
252,189
253,57
254,53
255,166
256,50
257,36
258,28
260,17
261,53
262,186
263,88
264,39
265,175
267,26
269,20
271,26
272,70
275,58
276,44
279,13
280,31
1372,35
1386,187
1374,26
1375,52
1377,74
1378,36
1379,96
1391,35
1387,30
1388,25
1389,34
1403,46
1392,137
1408,39
1395,61
1396,31
1399,74
1400,33
1402,76
1417,35
1404,79
1405,28
1420,48
1410,111
1412,74
1413,49
1414,50
1415,53
1418,90
1419,38
1421,13
1422,24
143,32
144,22
148,93
149,41
152,24
158,93
159,80
799,107
160,160
163,59
164,224
167,71
168,164
171,47
172,11
173,17
174,38
175,36
176,18
177,29
178,87
179,50
181,55
182,17
185,54
186,36
187,38
188,45
189,59
190,14
191,107
192,27
193,61
194,11
195,160
196,149
197,38
199,73
200,28
201,15
202,17
203,8
204,35
206,19
207,143
208,24
209,57
210,14
211,64
212,37
214,22
215,26
641,37
642,22
643,28
644,85
795,120
722,26
658,25
659,38
646,45
647,36
648,64
649,16
650,44
651,43
652,48
654,89
655,48
656,55
657,39
688,52
672,33
660,34
662,53
663,30
664,26
665,41
667,25
668,25
670,48
699,27
673,41
674,20
675,32
676,32
677,46
678,75
679,27
680,53
681,77
682,43
683,21
684,31
713,2
689,24
690,35
691,107
692,23
693,43
695,27
696,21
697,22
698,52
796,70
700,49
703,28
704,68
705,30
706,31
707,14
708,38
797,20
714,35
715,40
717,77
73,34
74,37
75,21
76,32
77,23
78,23
79,44
80,29
81,34
83,35
84,14
85,26
86,23
88,62
89,10
90,11
91,35
92,29
93,41
95,21
97,17
98,15
99,40
101,97
102,35
103,38
104,41
105,19
106,18
107,23
109,50
112,17
114,35
115,32
116,35
118,28
120,42
121,18
124,32
125,48
128,31
129,27
131,23
132,24
133,7
137,17
138,43
139,16
140,18
141,3
724,42
725,149
726,27
728,32
729,18
730,21
731,24
732,24
739,16
793,46
733,56
734,34
735,73
736,86
737,28
738,26
744,41
792,39
891,40
747,40
740,89
741,43
743,17
753,16
745,26
746,17
759,32
748,65
749,49
751,44
752,29
766,102
754,57
756,47
768,45
760,78
761,44
762,77
763,68
777,29
767,73
780,20
769,77
770,49
771,8
774,37
775,37
789,31
778,69
779,47
893,44
781,32
782,74
784,16
785,27
786,70
787,75
801,30
791,64
894,67
897,46
822,89
805,108
808,36
811,63
812,28
815,53
832,32
819,16
820,71
837,60
823,28
824,32
826,35
827,29
828,49
829,22
830,23
845,31
833,46
834,31
835,42
850,23
841,20
842,67
843,30
844,29
859,25
849,52
862,88
851,28
852,98
853,45
854,43
855,22
857,82
858,41
872,60
860,86
875,37
863,60
864,34
867,187
868,60
870,83
871,44
884,23
873,85
874,167
1170,44
986,49
876,32
877,17
878,36
879,33
880,45
881,22
882,21
885,92
886,90
887,13
888,10
988,27
889,52
913,39
899,19
900,21
901,57
917,86
904,63
905,74
906,52
907,50
909,28
911,53
912,25
925,31
916,63
931,37
918,54
919,41
920,40
921,30
922,151
923,67
924,77
941,41
927,30
928,153
944,34
932,32
933,30
934,59
935,50
936,126
937,195
938,197
952,44
942,27
1071,34
946,148
947,51
949,23
950,42
951,60
975,55
954,72
970,30
1072,200
958,31
959,67
960,47
962,104
964,66
965,32
972,33
971,81
985,108
973,34
974,88
1075,31
976,51
977,43
978,42
981,24
982,63
983,45
984,36
1248,82
1252,47
1173,42
1174,32
1175,47
1176,39
1177,103
1178,27
1193,36
1179,49
1180,86
1181,35
1182,37
1183,36
1187,76
1188,17
1203,43
1189,97
1190,76
1191,61
1192,32
1209,49
1196,53
1199,31
1200,118
1201,37
1202,40
1217,174
1204,36
1206,49
1221,11
1210,155
1211,37
1213,35
1214,45
1215,23
1216,60
1229,80
1218,19
1220,97
1233,97
1222,32
1223,96
1224,22
1226,19
1227,23
1228,248
1243,92
1230,101
1323,20
1234,35
1235,27
1236,116
1237,23
1238,45
1239,13
1240,46
1242,45
1259,229
1244,58
1245,24
1261,53
1325,47
1253,165
990,111
991,37
992,132
1006,27
993,37
995,38
996,67
997,46
1163,147
998,20
999,25
1000,17
1002,62
1003,79
1019,76
1008,59
1009,84
1022,82
1043,59
1011,55
1012,23
1013,17
1014,56
1015,27
1016,86
1017,45
1018,40
1032,24
1036,72
1023,48
1024,38
1025,71
1026,25
1030,28
1052,49
1034,60
1039,23
1038,14
1042,67
1041,41
1164,246
1044,35
1056,25
1047,26
1048,15
1049,58
1050,63
1051,46
1065,40
1053,59
1054,71
1055,27
1068,60
1058,54
1059,43
1060,49
1061,71
1062,9
1064,84
1077,29
1066,27
1166,54
1069,40
1070,27
1080,32
1171,178
1081,55
1082,55
1083,24
1084,45
1085,46
1086,55
1105,30
1091,24
1092,28
1094,130
1111,67
1172,39
1095,18
1096,38
1098,47
1099,72
1100,47
1104,49
1116,92
1106,21
1107,27
1108,17
1121,38
1112,35
1113,62
1114,81
1115,44
1133,76
1117,96
1118,42
1119,11
1134,17
1122,25
1123,31
1125,38
1128,57
1144,33
1146,53
1135,12
1136,17
1137,32
1138,49
1139,22
1140,36
1143,37
1153,69
1157,79
1147,17
1148,58
1149,58
1150,31
1151,49
1152,45
1167,33
1154,20
1155,24
1156,62
1169,113
1158,22
1160,42
1162,45
19,16
20,30
21,35
22,50
24,33
27,22
28,28
29,21
30,52
31,21
32,24
33,34
34,27
35,14
36,21
37,15
39,35
40,33
41,17
42,16
43,6
44,27
45,20
46,13
47,23
48,76
49,16
50,35
51,26
52,16
53,11
54,15
55,10
57,27
58,33
59,84
60,67
62,57
64,14
66,23
68,23
69,17
70,29
71,44
72,75
1255,156
1256,56
1268,68
1260,40
1273,28
1264,19
1265,56
